#BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Publication Source,Organism ID Interactor A,Organism ID Interactor B,Throughput,Score,Modification,Qualifications,Tags,Source Database,SWISS-PROT Accessions Interactor A,TREMBL Accessions Interactor A,REFSEQ Accessions Interactor A,SWISS-PROT Accessions Interactor B,TREMBL Accessions Interactor B,REFSEQ Accessions Interactor B,Ontology Term IDs,Ontology Term Names,Ontology Term Categories,Ontology Term Qualifier IDs,Ontology Term Qualifier Names,Ontology Term Types,Organism Name Interactor A,Organism Name Interactor B
3477142,7157,26154,113010,117585,-,-,TP53,ABCA12,BCC7|LFS1|P53|TRP53,ARCI4A|ARCI4B|ICR2B|LI2,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q86UK0,B3KVV3,NP_056472|NP_775099,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477143,7157,55236,113010,120529,-,-,TP53,UBA6,BCC7|LFS1|P53|TRP53,E1-L2|MOP-4|UBE1L2,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,A0AVT1,A0A024RDB0,NP_060697,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477144,7157,8317,113010,113914,-,-,TP53,CDC7,BCC7|LFS1|P53|TRP53,CDC7L1|HsCDC7|Hsk1|huCDC7,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,O00311,B2R6V2,NP_003494|NP_001127891|NP_001127892,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477145,7157,3397,113010,109623,-,-,TP53,ID1,BCC7|LFS1|P53|TRP53,ID|bHLHb24,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput|Low Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P41134,-,NP_851998|NP_002156,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477146,7157,1486,113010,107868,-,RP11-118B23.5,TP53,CTBS,BCC7|LFS1|P53|TRP53,CTB,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q01459,Q8TC97,NP_004379,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477147,7157,8891,113010,114408,-,RP5-882O7.2,TP53,EIF2B3,BCC7|LFS1|P53|TRP53,EIF-2B|EIF2Bgamma,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9NR50,Q9HA31,NP_001160060|NP_065098|NP_001248347,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477148,7157,51569,113010,119616,-,RP11-131P10.1,TP53,UFM1,BCC7|LFS1|P53|TRP53,BM-002|C13orf20,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P61960,-,NP_001273635|NP_001273634|NP_001273633|NP_057701|NP_001273632,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477149,7157,26024,113010,117493,-,-,TP53,PTCD1,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,O75127,A4D273,NP_056360,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477150,7157,219931,113010,128596,-,-,TP53,TPCN2,BCC7|LFS1|P53|TRP53,SHEP10|TPC2,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8NHX9,Q59G56,NP_620714,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477151,7157,9148,113010,114595,-,-,TP53,NEURL1,BCC7|LFS1|P53|TRP53,NEUR1|NEURL|RNF67|bA416N2.1|neu|neu-1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,O76050,B4DS86,NP_004201,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477152,7157,79689,113010,122810,-,-,TP53,STEAP4,BCC7|LFS1|P53|TRP53,STAMP2|TIARP|TNFAIP9,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q687X5,-,NP_001192244|NP_001192245|NP_078912,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477153,7157,91442,113010,124833,-,-,TP53,C19orf40,BCC7|LFS1|P53|TRP53,FAAP24,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9BTP7,K7EKQ4,NP_001287907|NP_689479,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477154,7157,255809,113010,129122,-,-,TP53,C19orf38,BCC7|LFS1|P53|TRP53,HIDE1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,A8MVS5,-,NP_001129954,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477155,7157,145407,113010,126910,-,-,TP53,C14orf37,BCC7|LFS1|P53|TRP53,c14_5376,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q86TY3,-,NP_001001872,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477156,7157,167359,113010,127945,-,-,TP53,NIM1K,BCC7|LFS1|P53|TRP53,NIM1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8IY84,A0A024R049,NP_699192,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477157,7157,51206,113010,119379,-,-,TP53,GP6,BCC7|LFS1|P53|TRP53,BDPLT11|GPIV|GPVI,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9HCN6,-,NP_001077368|NP_001242946|NP_057447,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477158,7157,79370,113010,122658,-,-,TP53,BCL2L14,BCC7|LFS1|P53|TRP53,BCLG,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q9BZR8,A0A024RAR1,NP_620048|NP_620049|NP_110393,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477159,7157,373861,113010,131886,-,-,TP53,HILS1,BCC7|LFS1|P53|TRP53,H1.9,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,-,-,-,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477160,7157,125875,113010,125932,-,-,TP53,CLDND2,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8NHS1,-,NP_689566,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477161,7157,7369,113010,113216,-,-,TP53,UMOD,BCC7|LFS1|P53|TRP53,ADMCKD2|FJHN|HNFJ|HNFJ1|MCKD2|THGP|THP,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P07911,-,NP_001008390|NP_001265543|NP_003352,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477162,7157,6005,113010,111937,-,-,TP53,RHAG,BCC7|LFS1|P53|TRP53,CD241|RH2|RH50A|Rh50|Rh50GP|SLC42A1,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q02094,Q96E98,NP_000315,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477163,7157,9945,113010,115270,-,-,TP53,GFPT2,BCC7|LFS1|P53|TRP53,GFAT2,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,O94808,-,NP_005101,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477164,7157,340562,113010,131076,-,RP3-388N15.1,TP53,SATL1,BCC7|LFS1|P53|TRP53,-,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q86VE3,-,NP_001012998,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477165,7157,84816,113010,124276,-,-,TP53,RTN4IP1,BCC7|LFS1|P53|TRP53,NIMP,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q8WWV3,-,NP_116119,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477166,7157,285489,113010,130124,-,RP11-529E10.4,TP53,DOK7,BCC7|LFS1|P53|TRP53,C4orf25|CMS1B,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q18PE1,Q8N1M3,NP_001288000|NP_001158145|NP_001243825|NP_775931,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477167,7157,4928,113010,110982,-,-,TP53,NUP98,BCC7|LFS1|P53|TRP53,ADIR2|NUP196|NUP96,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,P52948,-,NP_624358|NP_001352058|NP_057404|NP_001352056|NP_001352055|NP_001352054|NP_624357|NP_001352057|NP_005378,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477168,7157,114825,113010,125375,-,-,TP53,PWWP2A,BCC7|LFS1|P53|TRP53,MST101,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q96N64,-,NP_443159|NP_001124336|NP_001253964,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477169,7157,4224,113010,110387,-,-,TP53,MEP1A,BCC7|LFS1|P53|TRP53,PPHA,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q16819,-,NP_005579,-,-,-,-,-,-,Homo sapiens,Homo sapiens
3477170,7157,10693,113010,115932,-,-,TP53,CCT6B,BCC7|LFS1|P53|TRP53,CCT-zeta-2|CCTZ-2|Cctz2|TCP-1-zeta-2|TSA303,Synthetic Lethality,genetic,Imai H (2014),PUBMED:24378760,9606,9606,High Throughput,-,-,-,-,BIOGRID,P04637,H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8,NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689,Q92526,-,NP_001180459|NP_001180458|NP_006575,-,-,-,-,-,-,Homo sapiens,Homo sapiens
