#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
243988	472	7157	106962	113010	-	-	ATM	TP53	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Fabbro M (2004)	PUBMED:15159397	9606	9606	Low Throughput	-	-	BRCA1-BARD1 complexes act as an adaptor to mediate ATM/ATR-directed phosphorylation of p53, influencing G(1)/S cell cycle progression after DNA damage	-	BIOGRID	Q13315	A0A024R3C7	NP_001338763|NP_000042	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
243989	545	7157	107027	113010	-	-	ATR	TP53	FCTCS|FRP1|MEC1|SCKL|SCKL1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Fabbro M (2004)	PUBMED:15159397	9606	9606	Low Throughput	-	-	BRCA1-BARD1 complexes act as an adaptor to mediate ATM/ATR-directed phosphorylation of p53, influencing G(1)/S cell cycle progression after DNA damage	-	BIOGRID	Q13535	-	NP_001175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244062	7020	7157	112878	113010	RP1-290I10.1	-	TFAP2A	TP53	AP-2|AP-2alpha|AP2TF|BOFS|TFAP2	BCC7|LFS1|P53|TRP53	Co-localization	physical	McPherson LA (2002)	PUBMED:12226108	9606	9606	Low Throughput	-	-	Chromatin immunoprecipitation;interaction between AP2alpha and p53 augments p53-mediated transcriptional activation	-	BIOGRID	P05549	-	NP_001358995|NP_001035890|NP_003211|NP_001027451	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244137	7157	641	113010	107110	-	-	TP53	BLM	BCC7|LFS1|P53|TRP53	BS|RECQ2|RECQL2|RECQL3	Affinity Capture-Western	physical	Wang XW (2001)	PUBMED:11399766	9606	9606	Low Throughput	-	-	C-terminal domain of p53 is responsible for the interaction;cells lacking a functional p53 have a decreased accumulation of BLM in nuclear bodies (NBs);BLM mutants (C1055S or Delta133-237) that have a reduced ability to localize to the NBs when expressed	-	BIOGRID	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244138	641	7157	107110	113010	-	-	BLM	TP53	BS|RECQ2|RECQL2|RECQL3	BCC7|LFS1|P53|TRP53	Co-localization	physical	Wang XW (2001)	PUBMED:11399766	9606	9606	Low Throughput	-	-	C-terminal domain of p53 is responsible for the interaction;cells lacking a functional p53 have a decreased accumulation of BLM in nuclear bodies (NBs);BLM mutants (C1055S or Delta133-237) that have a reduced ability to localize to the NBs when expressed	-	BIOGRID	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244139	641	7157	107110	113010	-	-	BLM	TP53	BS|RECQ2|RECQL2|RECQL3	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Wang XW (2001)	PUBMED:11399766	9606	9606	Low Throughput	-	-	C-terminal domain of p53 is responsible for the interaction;cells lacking a functional p53 have a decreased accumulation of BLM in nuclear bodies (NBs);BLM mutants (C1055S or Delta133-237) that have a reduced ability to localize to the NBs when expressed	-	BIOGRID	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244140	641	7157	107110	113010	-	-	BLM	TP53	BS|RECQ2|RECQL2|RECQL3	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Wang XW (2001)	PUBMED:11399766	9606	9606	Low Throughput	-	-	C-terminal domain of p53 is responsible for the interaction;cells lacking a functional p53 have a decreased accumulation of BLM in nuclear bodies (NBs);BLM mutants (C1055S or Delta133-237) that have a reduced ability to localize to the NBs when expressed	-	BIOGRID	P54132	B7ZKN7|H0YNU5	NP_001274177|NP_000048|NP_001274176|NP_001274175	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244147	672	7157	107140	113010	-	-	BRCA1	TP53	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Ouchi T (1998)	PUBMED:9482880	9606	9606	Low Throughput	-	-	C-terminal region (amino acisds 271-393) of p53	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244173	472	7157	106962	113010	-	-	ATM	TP53	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Khanna KK (1998)	PUBMED:9843217	9606	9606	Low Throughput	-	-	Direct interaction between ATM and p53 involving two regions in ATM, one at the amino terminus and the other at the carboxy terminus, corresponding to the PI-3 kinase domain. Recombinant ATM protein phosphorylates p53 on serine 15 near the N terminus	-	BIOGRID	Q13315	A0A024R3C7	NP_001338763|NP_000042	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244258	2042	7157	108356	113010	-	-	EPHA3	TP53	EK4|ETK|ETK1|HEK|HEK4|TYRO4	BCC7|LFS1|P53|TRP53	Reconstituted Complex	physical	Jiang T (2004)	PUBMED:15355990	9606	9606	Low Throughput	-	-	Etk is physically associated with p53 through its Src homology 3 domain and the proline-rich domain of p53. Induction of p53 expression by DNA damage inhibits Etk activity;interacts with p53 in the cytoplasm and that such interaction leads to bidirectiona	-	BIOGRID	P29320	C9JXA2|Q6P4R6	NP_872585|NP_005224	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244460	580	7157	107056	113010	-	-	BARD1	TP53	-	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	Q99728	F6MDI1|F6MDI2|A0A087WZ19|A0A087X2H0|F6MDI0|A0AVN2	NP_001269478|NP_000456|NP_001269472|NP_001269474|NP_001269477	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244461	672	7157	107140	113010	-	-	BRCA1	TP53	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BCC7|LFS1|P53|TRP53	Affinity Capture-MS	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244462	672	7157	107140	113010	-	-	BRCA1	TP53	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	P38398	E9PFZ0|A0A024R1V0	NP_009229|NP_009228|NP_009230|NP_009231|NP_009225	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244463	5888	7157	111825	113010	-	-	RAD51	TP53	BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	BCC7|LFS1|P53|TRP53	Affinity Capture-MS	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	Q06609	-	NP_001157742|NP_002866|NP_001157741|NP_597994	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244464	5888	7157	111825	113010	-	-	RAD51	TP53	BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	BCC7|LFS1|P53|TRP53	Co-purification	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	Q06609	-	NP_001157742|NP_002866|NP_001157741|NP_597994	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244465	5888	7157	111825	113010	-	-	RAD51	TP53	BRCC5|HRAD51|HsRad51|HsT16930|MRMV2|RAD51A|RECA	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	Q06609	-	NP_001157742|NP_002866|NP_001157741|NP_597994	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
244466	675	7157	107142	113010	RP11-298P3.4	-	BRCA2	TP53	BRCC2|BROVCA2|FACD|FAD|FAD1|FANCD|FANCD1|GLM3|PNCA2|XRCC11	BCC7|LFS1|P53|TRP53	Affinity Capture-Western	physical	Dong Y (2003)	PUBMED:14636569	9606	9606	Low Throughput	-	-	Increased association with p53 following DNA damage	-	BIOGRID	P51587	-	NP_000050	P04637	H2EHT1|A0A087WT22|A0A087WXZ1|Q53GA5|A0A087X1Q1|K7PPA8	NP_001119586|NP_001119590|NP_001119584|NP_000537|NP_001263627|NP_001263626|NP_001263625|NP_001119588|NP_001263628|NP_001119587|NP_001263624|NP_001119585|NP_001263690|NP_001119589|NP_001263689	-	-	-	-	-	-	Homo sapiens	Homo sapiens
